iter	Passed	Remaining
0	143	142920
1	144	71999
2	145	48294
3	146	36418
4	146	29241
5	147	24506
6	149	21155
7	150	18678
8	151	16702
9	152	15128
10	153	13831
11	154	12750
12	156	11850
13	157	11071
14	158	10385
15	159	9796
16	160	9269
17	161	8798
18	162	8371
19	163	7997
20	164	7664
21	165	7350
22	166	7069
23	167	6804
24	168	6561
25	169	6339
26	170	6129
27	171	5939
28	172	5762
29	173	5594
30	173	5438
31	174	5290
32	175	5151
33	176	5021
34	177	4907
35	178	4791
36	179	4683
37	180	4578
38	181	4476
39	182	4381
40	183	4289
41	184	4202
42	185	4120
43	186	4042
44	186	3966
45	187	3894
46	188	3826
47	189	3758
48	190	3696
49	191	3637
50	192	3578
51	193	3521
52	194	3468
53	194	3415
54	195	3364
55	196	3314
56	197	3266
57	198	3219
58	199	3174
59	199	3130
60	200	3089
61	201	3049
62	202	3010
63	203	2972
64	204	2936
65	205	2901
66	205	2862
67	206	2829
68	207	2797
69	208	2768
70	209	2738
71	210	2708
72	211	2680
73	211	2651
74	212	2624
75	213	2597
76	214	2566
77	214	2540
78	215	2509
79	216	2485
80	216	2461
81	217	2438
82	218	2415
83	219	2392
84	220	2371
85	221	2352
86	222	2333
87	223	2315
88	224	2297
89	225	2279
90	225	2257
91	226	2238
92	227	2220
93	228	2202
94	229	2185
95	230	2168
96	231	2151
97	231	2135
98	232	2118
99	233	2099
100	234	2084
101	235	2071
102	236	2059
103	237	2045
104	238	2032
105	239	2018
106	240	2004
107	241	1990
108	241	1975
109	242	1962
110	243	1949
111	244	1937
112	245	1924
113	245	1911
114	246	1899
115	247	1888
116	248	1876
117	249	1862
118	250	1851
119	251	1841
120	251	1828
121	252	1817
122	253	1806
123	254	1796
124	255	1786
125	255	1775
126	256	1765
127	257	1755
128	258	1746
129	259	1736
130	260	1727
131	261	1718
132	262	1708
133	263	1699
134	264	1691
135	264	1682
136	265	1674
137	266	1665
138	267	1657
139	268	1648
140	269	1640
141	270	1632
142	271	1624
143	271	1616
144	272	1608
145	273	1601
146	274	1593
147	275	1585
148	276	1578
149	277	1570
150	278	1563
151	279	1556
152	280	1550
153	281	1544
154	281	1537
155	282	1530
156	283	1523
157	284	1516
158	285	1510
159	286	1503
160	287	1496
161	287	1489
162	288	1483
163	289	1476
164	290	1470
165	291	1463
166	292	1457
167	293	1452
168	294	1446
169	297	1450
170	298	1445
171	298	1439
172	299	1433
173	300	1427
174	301	1421
175	302	1415
176	303	1410
177	304	1404
178	304	1398
179	305	1393
180	306	1388
181	307	1383
182	308	1378
183	309	1374
184	311	1370
185	312	1365
186	312	1360
187	313	1355
188	314	1350
189	315	1345
190	316	1340
191	317	1335
192	318	1330
193	318	1324
194	319	1320
195	320	1315
196	321	1310
197	322	1305
198	323	1300
199	324	1296
200	324	1291
201	325	1287
202	326	1282
203	327	1277
204	328	1273
205	329	1269
206	330	1264
207	331	1260
208	331	1256
209	332	1251
210	333	1247
211	334	1242
212	335	1239
213	336	1234
214	337	1230
215	337	1226
216	338	1222
217	339	1218
218	340	1214
219	341	1210
220	342	1206
221	343	1202
222	343	1198
223	344	1194
224	345	1190
225	346	1186
226	347	1182
227	348	1178
228	348	1174
229	349	1171
230	350	1167
231	351	1163
232	352	1160
233	353	1156
234	354	1152
235	354	1149
236	355	1145
237	356	1142
238	357	1138
239	358	1134
240	359	1131
241	360	1128
242	361	1124
243	361	1121
244	362	1117
245	363	1114
246	364	1111
247	365	1108
248	366	1105
249	367	1102
250	368	1099
251	369	1096
252	370	1093
253	371	1090
254	372	1086
255	372	1083
256	373	1080
257	374	1077
258	375	1073
259	376	1070
260	377	1067
261	377	1064
262	378	1061
263	379	1058
264	380	1055
265	381	1052
266	382	1049
267	383	1046
268	383	1043
269	384	1040
270	385	1037
271	386	1034
272	387	1032
273	388	1029
274	389	1027
275	390	1024
276	391	1022
277	392	1020
278	393	1017
279	394	1015
280	395	1012
281	396	1009
282	397	1006
283	398	1003
284	399	1001
285	399	998
286	400	995
287	401	992
288	402	990
289	403	987
290	404	984
291	405	982
292	406	979
293	407	977
294	407	974
295	408	972
296	409	969
297	410	967
298	411	964
299	412	962
300	413	959
301	414	956
302	414	954
303	415	952
304	416	949
305	417	946
306	418	944
307	419	941
308	420	939
309	420	936
310	421	934
311	422	931
312	423	929
313	424	926
314	425	924
315	425	921
316	426	919
317	427	917
318	428	914
319	429	912
320	430	910
321	431	907
322	432	905
323	433	903
324	434	901
325	434	899
326	435	896
327	436	894
328	437	892
329	438	890
330	439	888
331	440	886
332	441	883
333	442	881
334	443	879
335	443	877
336	444	874
337	445	872
338	446	870
339	447	868
340	448	866
341	449	864
342	450	862
343	450	859
344	451	857
345	452	855
346	453	853
347	454	851
348	455	848
349	455	846
350	456	844
351	457	842
352	458	840
353	459	838
354	460	837
355	461	834
356	462	832
357	463	830
358	464	828
359	464	826
360	465	824
361	466	822
362	467	820
363	468	818
364	469	816
365	470	814
366	470	812
367	471	810
368	472	808
369	473	806
370	474	804
371	475	802
372	476	800
373	477	798
374	478	796
375	478	794
376	479	792
377	480	790
378	481	788
379	482	786
380	483	784
381	483	782
382	484	781
383	485	779
384	486	777
385	487	775
386	488	773
387	489	771
388	490	769
389	491	768
390	492	766
391	492	764
392	493	762
393	494	761
394	495	759
395	496	757
396	497	755
397	498	754
398	499	752
399	500	750
400	501	748
401	502	746
402	503	745
403	504	743
404	505	742
405	506	740
406	507	738
407	507	737
408	508	735
409	509	733
410	510	731
411	511	729
412	512	728
413	513	726
414	514	724
415	515	723
416	516	721
417	517	720
418	518	718
419	519	717
420	520	715
421	521	714
422	522	712
423	523	710
424	524	709
425	525	707
426	526	705
427	527	704
428	527	702
429	528	700
430	529	699
431	530	697
432	531	696
433	532	694
434	533	693
435	535	692
436	535	690
437	536	688
438	537	687
439	538	685
440	539	683
441	540	682
442	541	680
443	542	678
444	542	677
445	543	675
446	544	673
447	545	672
448	546	670
449	547	669
450	548	667
451	549	666
452	550	664
453	551	662
454	552	661
455	552	659
456	553	657
457	554	656
458	555	654
459	556	652
460	557	651
461	557	649
462	558	648
463	559	646
464	560	645
465	561	643
466	562	642
467	563	641
468	564	639
469	565	638
470	566	636
471	567	635
472	568	633
473	569	631
474	570	630
475	571	628
476	572	627
477	573	626
478	574	624
479	575	623
480	576	621
481	576	620
482	577	618
483	578	617
484	579	615
485	580	614
486	581	612
487	582	611
488	583	609
489	584	608
490	585	606
491	585	604
492	586	603
493	587	602
494	588	600
495	589	598
496	590	597
497	591	595
498	592	594
499	592	592
500	593	591
501	594	589
502	595	588
503	596	587
504	597	585
505	598	584
506	599	582
507	599	581
508	600	579
509	601	578
510	602	576
511	603	575
512	604	574
513	605	572
514	606	571
515	607	569
516	608	568
517	609	566
518	610	565
519	611	564
520	612	562
521	613	561
522	613	559
523	614	558
524	615	557
525	616	555
526	617	554
527	618	552
528	619	551
529	619	549
530	620	548
531	621	546
532	622	545
533	623	544
534	624	542
535	625	541
536	626	540
537	627	538
538	628	537
539	628	535
540	629	534
541	630	532
542	631	531
543	632	530
544	633	528
545	633	527
546	634	525
547	635	524
548	636	522
549	637	521
550	638	520
551	639	518
552	640	517
553	641	516
554	642	514
555	642	513
556	643	511
557	644	510
558	645	509
559	646	507
560	647	506
561	647	504
562	648	503
563	649	502
564	650	500
565	651	499
566	652	498
567	653	496
568	654	495
569	654	493
570	655	492
571	656	491
572	657	489
573	658	488
574	659	487
575	660	486
576	661	484
577	662	483
578	663	482
579	664	480
580	664	479
581	665	478
582	666	476
583	667	475
584	668	474
585	669	472
586	670	471
587	671	470
588	672	469
589	673	467
590	674	466
591	675	465
592	676	464
593	677	462
594	677	461
595	678	460
596	679	458
597	680	457
598	681	456
599	682	454
600	683	453
601	683	452
602	684	450
603	685	449
604	686	448
605	687	447
606	688	445
607	689	444
608	690	443
609	691	442
610	692	440
611	693	439
612	694	438
613	695	437
614	696	435
615	697	434
616	698	433
617	699	432
618	700	431
619	701	429
620	702	428
621	703	427
622	704	426
623	705	424
624	705	423
625	706	422
626	707	420
627	708	419
628	709	418
629	710	417
630	710	415
631	711	414
632	712	413
633	713	412
634	714	410
635	715	409
636	716	408
637	717	407
638	718	406
639	719	404
640	720	403
641	721	402
642	721	400
643	722	399
644	723	398
645	724	396
646	725	395
647	726	394
648	727	393
649	728	392
650	729	390
651	729	389
652	730	388
653	731	387
654	732	385
655	733	384
656	734	383
657	735	382
658	735	380
659	736	379
660	737	378
661	738	377
662	739	375
663	740	374
664	740	373
665	741	371
666	742	370
667	743	369
668	744	368
669	745	367
670	746	365
671	747	364
672	748	363
673	748	362
674	749	361
675	750	359
676	751	358
677	752	357
678	753	356
679	753	354
680	754	353
681	755	352
682	756	351
683	757	350
684	758	348
685	759	347
686	760	346
687	761	345
688	762	344
689	763	342
690	764	341
691	765	340
692	765	339
693	766	338
694	767	336
695	768	335
696	769	334
697	770	333
698	770	331
699	771	330
700	772	329
701	773	328
702	774	327
703	775	325
704	776	324
705	777	323
706	777	322
707	778	321
708	779	319
709	780	318
710	781	317
711	782	316
712	783	315
713	783	314
714	784	312
715	786	311
716	787	310
717	788	309
718	789	308
719	790	307
720	791	306
721	792	305
722	793	304
723	794	303
724	795	301
725	796	300
726	797	299
727	798	298
728	799	297
729	800	296
730	801	294
731	802	293
732	803	292
733	804	291
734	804	290
735	805	289
736	806	287
737	807	286
738	808	285
739	809	284
740	810	283
741	811	282
742	811	280
743	812	279
744	813	278
745	814	277
746	815	276
747	816	274
748	817	273
749	818	272
750	818	271
751	819	270
752	820	269
753	821	268
754	822	266
755	823	265
756	824	264
757	825	263
758	825	262
759	826	261
760	827	259
761	828	258
762	829	257
763	830	256
764	831	255
765	831	254
766	833	253
767	834	251
768	834	250
769	835	249
770	836	248
771	837	247
772	838	246
773	839	245
774	840	243
775	840	242
776	841	241
777	842	240
778	843	239
779	844	238
780	845	237
781	846	235
782	847	234
783	848	233
784	849	232
785	849	231
786	850	230
787	851	229
788	852	227
789	853	226
790	854	225
791	855	224
792	855	223
793	856	222
794	857	221
795	858	220
796	859	218
797	860	217
798	861	216
799	862	215
800	863	214
801	864	213
802	865	212
803	866	211
804	867	210
805	867	208
806	868	207
807	870	206
808	871	205
809	872	204
810	872	203
811	873	202
812	874	201
813	875	200
814	876	198
815	877	197
816	878	196
817	879	195
818	879	194
819	880	193
820	881	192
821	882	191
822	883	189
823	884	188
824	885	187
825	885	186
826	886	185
827	887	184
828	888	183
829	889	182
830	890	181
831	891	179
832	892	178
833	893	177
834	894	176
835	894	175
836	895	174
837	896	173
838	897	172
839	898	171
840	899	170
841	900	168
842	901	167
843	901	166
844	902	165
845	903	164
846	904	163
847	905	162
848	906	161
849	907	160
850	908	159
851	909	157
852	909	156
853	910	155
854	911	154
855	912	153
856	913	152
857	914	151
858	915	150
859	916	149
860	917	148
861	918	146
862	919	145
863	919	144
864	920	143
865	921	142
866	922	141
867	923	140
868	924	139
869	925	138
870	925	137
871	926	136
